Species,SRR7160364,SRR7162297,SRR7162298,SRR7162299,SRR7162300,SRR7162301,SRR7162302,SRR7162303,SRR7162304,SRR7162305,SRR7162306,SRR7162307,SRR7162308,SRR7162309,SRR7162310,SRR7162311,SRR7162312,SRR7162313,SRR7162314,SRR7162315,SRR7162316,SRR7162317,SRR7162318,SRR7162319,SRR7162320,SRR7162321,SRR7162322,SRR7162323,SRR7162324,SRR7162325,SRR7162326,SRR7162327,SRR7162328,SRR7162329,SRR7162330,SRR7162331,SRR7162332,SRR7162333,SRR7162334,SRR7162335,SRR7162336,SRR7162337,SRR7162338,SRR7162339,SRR7162340,SRR7162341,SRR7162342,SRR7162343,SRR7162344,SRR7162345,SRR7162346,SRR7162347,SRR7162348,SRR7162349,SRR7162350,SRR7162351,SRR7162352,SRR7162353,SRR7162354,SRR7162355,SRR7162356,SRR7162357,SRR7162358,SRR7162359,SRR7162360,SRR7162361,SRR7162362,SRR7162363,SRR7162364,SRR7162365,SRR7162366,SRR7162367,SRR7162368,SRR7162369,SRR7162370,SRR7162371,SRR7162372,SRR7162373,SRR7162374,SRR7162375,SRR7162376,SRR7162377,SRR7162378,SRR7162379,SRR7162380,SRR7162381,SRR7162382,SRR7162383,SRR7162384,SRR7162385,SRR7162386,SRR7162387,SRR7162388,SRR7162389,SRR7162392,SRR7162393,SRR7162394,SRR7162395,SRR7162396,SRR7162397,SRR7162398,SRR7162399,SRR7162400,SRR7162401,SRR7162402,SRR7162403,SRR7162404,SRR7162405,SRR7162406,SRR7162407,SRR7162408,SRR7162409,SRR7162410,SRR7162411,SRR7162412,SRR7162413,SRR7162414,SRR7162415,SRR7162416,SRR7162417,SRR7162418,SRR7162419,SRR7162420,SRR7162421,SRR7162422,SRR7162423,SRR7162424,SRR7162425,SRR7162426,SRR7162427,SRR7162428
Actinobacillus pleuropneumoniae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885.27832,0,0,0,0,0,0,0,0,67.00492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.57085,0,0,0,0,163.16293,0,0,0,0,0,0,0,0,0,0,0,87.58388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.57865
Actinobacillus succinogenes,0,0,0,0,0,0,69.723946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.51032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.22859,0,0,0,0,0,0,0,0,156.24492,0,172.89163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.97713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aerococcus urinae,0,58.21022,0,118.839935,61.624187,0,0,152.69554,0,0,0,0,0,143.59598,0,0,0,0,0,0,0,0,83.38976,0,0,139.48627,107.82868,0,0,220.27783,0,0,0,121.806274,0,52.287354,0,180.12997,0,0,0,0,0,0,0,0,79.91496,0,436.07776,0,0,105.24207,0,58.973614,0,0,117.507164,0,0,725.89194,0,0,0,0,149.778386,0,85.51609,0,0,0,0,0,0,0,0,0,98.14244,0,0,0,0,0,0,97.70641,0,0,270.5377,0,0,0,0,98.9787,0,125.6346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332.250147,0,0,0,0,87.09129,0,0,0,71.36883,0,0,0,0,0,0,0,166.926894,0,0,0
Aeromonas veronii,0,0,0,0,0,0,145.87119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aggregatibacter actinomycetemcomitans,0,0,0,0,0,0,374.92505,0,0,191.86282,0,0,0,0,0,0,74.191246,0,20.793453,0,69.774895,1176.10406,0,0,0,0,0,0,94.96465,0,0,0,98.43123,0,0,102.71388,0,0,0,0,0,0,0,0,0,0,0,0,189.39238,0,0,0,74.34203,0,0,0,0,552.06217,0,0,360.15295,0,65.61425,403.5349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950.2986,0,0,0,0,0,0,0,0,0,0,0,0,161.94229,0,0,0,0,119.3919,0,0,0,0,0,0,0,0,0,0,0,0,0,186.17255
Aggregatibacter aphrophilus,0,0,0,0,0,0,0,0,0,0,0,0,110.107994,0,0,0,283.2756,0,26.464428,89.31132,0,146.248177,0,0,70.095634,0,0,0,0,0,0,0,0,0,0,0,149.58064,0,0,0,0,0,0,0,0,0,138.67162,0,0,0,0,0,110.67766,0,0,0,81.413,0,0,0,0,0,73.48125,0,0,0,0,0,0,0,0,0,0,0,0,0,119.03276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.23932,0,0,0,0,0,0,0,219.1336,0,0,0,0,0,0,0,0,0,0,281.91623,0,0,0,0,0,0,0,0
Akkermansia muciniphila,0,376.09624,0,0,0,0,0,0,0,0,26557.4608,30521.88826,0,0,0,0,0,0,0,71.44905,0,1096.7192,0,0,129.125862,0,9952.64682,147.75403,0,0,13973.22962,25297.0714,0,56.789165,6365.99632,0,1146.971432,3341.24836,0,170.48898,0,0,7727.305,0,0,57.091084,0,0,5715.56878,0,0,0,0,0,0,0,150.37181,0,0,0,0,0,6548.68145,0,0,0,458.312783,0,0,0,0,0,0,4021.5044,0,386.90916,0,0,426.829456,447.39696,0,0,0,356.888395,4231.6329,0,0,5.038306,135.78523,100.54324,5783.020014,173.23888,0,0,0,0,0,0,0,0,0,76904.39,30526.0827,0,0,0,25118.0038,0,0,883.0568,0,55.08968,187.65528,0,211.339424,0,0,332.55475,115.73549,0,0,242.65204,0,0,4244.55406,0,88.560616,8814.40612,65.71319,2379.90804,0
Albidiferax ferrireducens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.60482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alicycliphilus denitrificans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.58202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alicyclobacillus acidocaldarius,0,75.89481,0,73.03078,1276.0781,0,0,0,0,0,101.79576,204.4758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33157,0,171.57677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2746.4473,0,1724.1766,0,0,0,1442.3934,0,0,0,0,0,0,0,0,0,75.15439,152.1262,0,0,0,0,0,72.96534,241.1654,0,0,877.4389,0,183.37712,0,0,1294.5392,0,0,0,0,0,0,0,0,0,0,339.47586,0,0,0,253.809666,0,0,0,0,0,0,0,0,0,100.39856,0,0,0,0,0,0,0,0,0,0,0,121.22684,0,0,0,0,0,0,0,0,0,0,0,0,181.73205,0,0
