Species,SRR7160364,SRR7162297,SRR7162298,SRR7162299,SRR7162300,SRR7162301,SRR7162302,SRR7162303,SRR7162304,SRR7162305,SRR7162306,SRR7162307,SRR7162308,SRR7162309,SRR7162310,SRR7162311,SRR7162312,SRR7162313,SRR7162314,SRR7162315,SRR7162316,SRR7162317,SRR7162318,SRR7162319,SRR7162320,SRR7162321,SRR7162322,SRR7162323,SRR7162324,SRR7162325,SRR7162326,SRR7162327,SRR7162328,SRR7162329,SRR7162330,SRR7162331,SRR7162332,SRR7162333,SRR7162334,SRR7162335,SRR7162336,SRR7162337,SRR7162338,SRR7162339,SRR7162340,SRR7162341,SRR7162342,SRR7162343,SRR7162344,SRR7162345,SRR7162346,SRR7162347,SRR7162348,SRR7162349,SRR7162350,SRR7162351,SRR7162352,SRR7162353,SRR7162354,SRR7162355,SRR7162356,SRR7162357,SRR7162358,SRR7162359,SRR7162360,SRR7162361,SRR7162362,SRR7162363,SRR7162364,SRR7162365,SRR7162366,SRR7162367,SRR7162368,SRR7162369,SRR7162370,SRR7162371,SRR7162372,SRR7162373,SRR7162374,SRR7162375,SRR7162376,SRR7162377,SRR7162378,SRR7162379,SRR7162380,SRR7162381,SRR7162382,SRR7162383,SRR7162384,SRR7162385,SRR7162386,SRR7162387,SRR7162388,SRR7162389,SRR7162392,SRR7162393,SRR7162394,SRR7162395,SRR7162396,SRR7162397,SRR7162398,SRR7162399,SRR7162400,SRR7162401,SRR7162402,SRR7162403,SRR7162404,SRR7162405,SRR7162406,SRR7162407,SRR7162408,SRR7162409,SRR7162410,SRR7162411,SRR7162412,SRR7162413,SRR7162414,SRR7162415,SRR7162416,SRR7162417,SRR7162418,SRR7162419,SRR7162420,SRR7162421,SRR7162422,SRR7162423,SRR7162424,SRR7162425,SRR7162426,SRR7162427,SRR7162428
Clostridium cellulovorans,394.38916,616.8535,2162.05416,1175.52069,2081.58452,680.73825,2187.08159,1961.34854,2614.81133,468.394415,223.20453,1223.8381,0,0,1548.1324,125.97556,1208.88153,0,4292.6877,691.23429,0,1086.6999,1432.5096,643.92216,926.730646,129.0283,528.11552,608.783615,1252.456584,0,2186.277746,171.13864,1163.15517,1317.13597,230.12535,2162.31961,731.12429,518.45827,871.3549,620.43944,10620.9865,800.90369,2416.4692,408.46016,1892.18814,874.32093,46.799732,21.420078,806.45123,4837.32344,1035.8156,0,3207.4015,2166.208,275.53644,1342.2921,278.21176,0,160.09666,0,2107.75635,731.71352,2536.942876,1771.74972,857.18629,299.1148,425.0955,0,0,860.179475,2251.90996,1839.34341,407.39432,3078.765645,0,3022.75267,588.492396,2140.67578,0,1039.512517,0,1202.9751,0,154.85349,488.01834,0,0,3210.20483,2431.13022,523.01631,1517.84606,304.85727,706.10906,1538.630574,3289.1282,2043.0076,1532.15017,1844.2918,287.92342,0,1407.67947,814.858026,1084.924775,2146.69806,1692.23187,2628.62489,86.94714,0,1660.82992,0,0,1908.628724,397.059,1778.948116,919.84321,0,3083.4254,0,0,0,0,0,1422.3,128.37595,0,491.37791,728.096,1706.5354,1632.68147,1609.3343,2755.1936
Clostridium kluyveri,0,0,0,0,0,0,0,0,0,0,0,48.99483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.302925,0,0,0,99.81743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.51779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.22034,0,0,0,0,0,0,111.5805,0,0,0,0,0,0,0,0,0,0,0,0,0,73.31857,0,0,0,0,0,0,0,94.80729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium ljungdahlii,0,427.22134,0,528.87683,146.56493,0,0,0,90.98688,0,0,0,0,0,0,0,114.63984,0,0,0,0,0,0,0,0,0,745.12177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.398796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1373.0004,0,0,0,444.8519,952.5877,0,0,0,0,0,0,0,0,0,0,0,0,129.02094,0,0,0,473.3268,0,0,0,242.318264,0,0,0,0,0,112.96211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium novyi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.94449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium perfringens,0,712.975215,161.04808,1153.2959,82.06077,126.236023,0,992.4062,4495.54731,0,0,0,0,532.52861,85.67445,0,0,0,0,0,0,0,132.8437,0,530.283788,0,126.72905,0,0,0,60.329197,0,662.91723,0,0,0,202.374356,209.768477,0,0,348.35359,141.35652,1290.174521,0,0,404.046073,381.128773,66.938167,0,0,0,621.2045,73.702324,0,128.87718,0,124.841896,0,100.97787,83.3315,599.750552,0,55.822956,752.03416,220.06487,0,519.316,0,0,416.45359,84.94921,0,0,0,164.82384,0,1095.012995,0,337.21219,0,0,0,0,71.313515,299.15789,0,178.65526,8.7617802,0,72.332627,749.916346,537.600201,0,0,882.919216,0,0,292.98957,0,0,0,0,0,0,8462.239375,304.54379,0,0,0,0,0,0,468.932635,154.49474,0,0,73.75351,0,78.000114,60.687775,0,0,385.099655,0,0,0,0,573.6442,751.35312,251.2257,0
Clostridium phytofermentans,6208.0254,4482.749834,4770.022724,1832.900806,17733.40765,2870.277849,6839.954704,4432.560975,5635.639581,2698.99214,8829.402309,6368.636938,1794.446631,22407.92031,2893.546226,7349.211115,9449.513108,6864.297896,3669.481765,3229.044924,1463.999656,4863.519506,13629.27416,3044.097489,4810.788736,971.496325,4598.038119,2081.680392,3903.215556,3277.28475,10817.60722,927.05503,4562.74744,3136.190881,1509.25329,18252.63031,4132.058056,1275.150938,4554.818467,2172.535405,11494.89817,6830.509107,1729.144172,11441.47969,8968.750344,9145.766005,8808.305511,25851.70573,10645.47273,11650.82205,3350.1528,6451.124065,6598.413415,5089.960594,3322.501799,7157.055822,8436.665933,1033.438355,3294.408561,4655.1254,3184.635743,1693.65561,24345.17908,5958.075265,3866.71198,1559.22417,5551.542974,5484.398,1143.132733,15009.39542,7096.494742,4117.030499,3043.889551,10414.89719,1008.37185,9931.241901,3054.11196,7032.748037,2732.049366,5656.450273,2214.599516,10360.58385,1243.703395,2394.68879,10609.56906,3773.508554,6682.790116,7430.162129,5831.594929,4782.282265,5352.514896,3352.97545,3448.498777,3645.16782,7023.016229,7514.499308,4741.507282,9183.640911,17160.46109,1919.019071,17853.66853,4330.573014,5530.741443,9310.014413,12173.54508,10285.90182,2064.076331,12572.77344,1438.299995,5894.372623,0,20180.75794,2332.234561,7280.770746,10778.16461,4953.738325,8680.475568,2378.153453,3086.185281,2708.783965,976.851695,7617.124874,9617.04396,12387.40003,6106.579613,3061.630189,1957.158465,2038.305497,7766.599808,15496.37553,3763.174396
Clostridium saccharolyticum,17795.92086,8317.255311,32069.88686,10328.59746,35261.23032,13334.47236,23745.31544,13585.56089,18483.56806,17425.10595,17174.8539,21043.21583,15731.97856,151065.2516,9141.862412,33693.69923,12912.91344,8295.591881,20746.24292,13800.51641,12598.53301,34329.63006,20790.52721,13051.89757,8179.14046,61111.40228,21515.41487,7911.626283,11002.02469,25968.57226,30411.32857,5581.341565,20853.02377,10414.34323,18976.28734,27134.14659,25560.38687,7338.777562,31110.36801,10276.25753,16150.60843,38009.12466,11727.83741,41032.29882,30700.1389,29891.69885,17474.09452,80346.50494,24070.5803,26237.81737,9864.63489,47702.4375,23351.50227,33208.97978,15557.83477,23439.73369,36580.24496,58236.48018,26476.9284,30858.62317,23279.63809,7681.574384,31122.2079,14376.15504,31378.6946,11548.76829,32456.02511,37044.86022,9906.202289,34008.68282,12063.52392,7457.034449,7087.752571,22771.10486,33648.89595,17105.80422,14309.77891,16782.45925,3849.039718,20094.77172,10278.97663,19897.87027,65609.45976,14811.26483,17158.45376,15036.73903,42660.65724,25486.37346,9885.088662,12374.36901,15483.85196,20392.5919,21049.78003,8730.009819,12560.6019,26668.39155,21483.98197,24501.80676,11630.15272,11093.8526,38697.23889,10354.4457,20867.96733,20639.66745,32954.86686,31203.63935,18036.62558,35948.35072,36149.2847,20399.5743,0,35051.36278,7433.986603,17757.6979,16000.04761,35004.32945,23321.34271,9623.596386,34503.65394,23087.39652,13406.78789,46463.25691,34690.50993,30145.88572,14109.42287,3845.664336,10982.75919,9907.578556,12667.33531,25108.88387,24910.32128
Clostridium sp. SY8519,11381.74374,9900.322067,13451.93349,5205.314795,19983.31788,4356.188376,9688.535996,10044.41976,13687.14881,4888.231674,11115.29798,10866.88347,3469.25457,49789.72963,8964.041764,10029.904,13444.10532,7281.054111,7602.312869,4106.068556,2269.214382,6270.239721,12559.99249,8207.410204,7024.996869,1571.158095,9054.83436,3206.076474,5326.920816,13577.12137,15139.08185,5577.904135,10696.93212,3863.987596,5822.94234,13649.26817,12101.35712,2347.59899,6845.2742,2313.8156,16181.96837,15506.09568,11229.93556,24134.21053,10553.85297,14329.38413,10286.06162,53451.34352,14349.04739,13484.21997,6663.3562,8152.2255,11084.6903,18831.0861,9598.655312,9169.47858,12290.45912,5171.994274,11453.32388,17947.91587,6091.319742,6940.48807,22318.638,3044.0714,10201.35874,3129.093969,8296.963223,18912.6307,4172.44672,12791.94386,6442.781041,7080.671138,5633.429568,10779.16801,2855.0321,9786.404602,13548.77027,6118.304783,1930.946987,10298.00005,4298.681496,18032.37788,2794.95808,7138.644772,12739.55012,9651.753335,22569.61554,14818.2838,8593.449541,7046.990766,9563.269268,3912.613321,11379.47696,7231.475391,9193.716611,6811.248566,12621.16498,16350.61909,8048.2908,8971.038774,22420.29647,5890.48706,12068.74012,7158.190042,13088.34914,17019.63977,4152.228783,9303.327622,6821.89571,4119.214435,0,19115.84825,3583.86767,9588.136025,9044.389311,9207.232622,12064.27854,5461.386036,7736.516964,6953.41331,5240.260584,15757.51283,21591.50793,13673.46483,6935.156349,2702.661748,5454.456472,4917.552801,4048.876782,14816.47075,10402.4936
Clostridium tetani,0,171.37808,0,0,61.03952,113.42154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.64568,0,0,0,0,0,328.52774,0,0,0,0,57.22551,0,0,0,0,86.45195,0,0,0,0,0,0,103.09643,0,0,0,0,0,0,0,0,0,0,308.427458,0,0,0,0,0,240.54727,0,0,165.39685,0,0,0,0,0,0,369.97125,0,0,88.82528,0,0,0,388.40433,0,0,0,0,0,0,108.952271,0,0,0,389.92711,284.2864,0,0,0,0,0,0,109.16124,0,0,0,0,221.67758,0,0,0,187.09593,0,0,0,0,116.610176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium thermocellum,169.15674,0,0,0,230.730604,118.49069,0,512.94503,275.62086,460.09338,991.089036,703.86928,151.08234,1975.5175,0,975.10796,0,994.3568,0,290.21081,102.544075,327.74998,250.958144,0,665.258356,0,370.99637,129.32718,142.79408,1536.1697,476.77215,2256.5947,100.16234,137.99866,494.50617,178.971202,111.54134,429.164448,123.82538,546.64154,2370.303436,0,0,1134.56202,243.06058,123.37321,263.63247,0,213.33928,806.81457,0,0,0,0,434.036276,102.04293,180.65476,653.014145,242.12057,1291.528764,76.82108,84.902885,253.629216,259.03397,175.50343,97.50014,0,345.91731,472.56027,75.82146,362.32591,0,0,594.35443,445.90276,69.09999,0,0,0,1382.01671,159.49457,120.11471,0,676.47308,392.72876,89.33508,266.91748,40.367443,127.069115,0,418.59716,214.44275,0,1129.355696,2004.435894,203.09906,256.128064,0,0,504.4846,83.17056,1109.302304,578.89915,117.45036,669.976805,855.59596,327.635057,1350.1621,596.79995,99.183754,0,222.415833,110.58323,659.63651,700.42766,697.2751,354.95446,224.73792,688.035435,410.52635,1197.5245,72.67089,731.04628,1117.735488,207.592925,173.67799,1104.169475,709.27695,617.05364,0,0
Collimonas fungivorans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.8816,0,0,110.23565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.51932,0,154.3357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.59221,0,0,0,0,0,0,0,0,0,169.027156,0,0,0,0,0,0,119.007035,0,0,0,0,0,0,0,0,542.8914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.69519,0,0,0,0,0,0,189.801234,0,0,0,0,0,0,0,0,0,0,0,0,63.594597,0,0
Comamonas testosteroni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.7605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.80981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conexibacter woesei,0,250.74889,890.44696,2409.1333,0,0,0,517.107,486.21783,0,293.3551,489.93911,898.3642,0,973.49369,3027.6106,768.931,0,806.49084,0,909.966,0,185.10748,0,214.49142,18946.285,1101.752994,1083.2177,554.6328,0,241.223275,0,0,1197.201,0,0,0,335.73145,0,0,400.37436,1244.0127,0,0,0,0,345.048954,326.51126,224.26155,713.54,623.0759,0,0,0,530.10944,0,204.15996,0,576.98236,958.8758,0,0,0,148.04489,0,0,110.26908,2883.34,0,0,0,0,559.0255,0,0,0,599.4703,991.60345,0,452.633,0,0,17010.516,686.87933,0,644.36255,0,0,0,372.2416,53.917248,1117.5292,0,107.96214,274.42453,347.055694,353.02194,253.22821,0,407.98648,0,0,372.46492,0,0,0,2077.106,0,0,466.52771,0,213.26088,828.06146,0,0,0,0,0,0,710.9161,1356.2793,468.84543,0,0,0,577.69456,0,0,251.17921,0,0
Coprothermobacter proteolyticus,200.33775,0,0,0,0,0,0,0,434.4819,0,0,0,0,1862.538,0,0,0,0,0,0,0,135.757,101.975815,255.13326,0,0,4501.1436,0,0,0,278.071865,1759.253,0,0,0,0,107.76588,107.99725,130.32921,0,122.6101,0,0,0,103.61085,0,70.88891,5.947286,141.23026,0,0,187.78416,0,0,0,0,0,238.08698,0,0,0,315.44226,125.718605,0,0,0,0,0,0,0,0,356.6315,0,609.4971,0,117.80047,0,0,0,1999.72678,106.41319,0,0,80.61029,0,0,0,73.75541,164.19487,0,205.08511,0,0,1005.87506,656.5459,0,92.48073,0,0,478.23257,669.47119,1005.2081,344.99425,157.26416,0,0,0,0,0,113.00726,0,417.83054,0,0,0,0,0,0,86.39278,0,0,0,0,0,0,104.28812,0,0,504.33615,335.5935,0
Coraliomargarita akajimensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.02318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.205734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.335465,2509.17191,0
Coriobacterium glomerans,0,1720.766909,0,0,0,0,3876.436995,0,2944.13568,0,0,3493.83415,0,0,136.745827,983.883385,762.931629,4305.745765,242.115846,394.714269,0,281.254495,0,2880.39798,1138.403168,0,2604.453134,72.74412,2504.790226,0,2616.081255,0,2724.063245,0,0,2423.41022,0,109.00168,2908.149308,0,2411.86613,0,0,8448.22682,596.17049,2702.552716,0,1.76147987,3440.840154,3431.29644,0,0,0,455.84459,159.513784,3700.30272,609.336195,0,3592.033185,3232.03997,0,166.26277,11230.31958,0,3642.03421,0,70.0353,8785.11153,0,7825.12096,0,0,0,0,0,947.174514,0,0,277.855654,6855.867641,0,5727.876409,0,0,0,3444.03762,267.80972,9569.99279,2293.854595,2538.644827,1759.349456,0,2862.742755,0,0,0,0,3854.137615,754.41465,0,0,0,6207.493177,0,1783.047633,3436.14109,2779.31853,1945.228933,370.024444,0,0,3160.29748,623.628931,5658.92758,3206.696551,0,2828.31992,0,66.545334,0,4459.33783,366.459533,1282.60608,3851.364956,0,85.03748,1712.001749,2033.369898,69.585976,1657.60256,133.19167
Corynebacterium kroppenstedtii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.15598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium ulcerans,0,110.27739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.79994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium variabile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.333435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coxiella burnetii,0,0,0,0,0,0,184.88695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.49315,0,232.40053,0,0,0,0,0,0,0,123.95686,0,0,79.86894,0,70.967636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.52152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.00323,0
Croceibacter atlanticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.38551,0,0,0,0,0,91.389786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.40563,0,0,0,0,0,0,0,0,0,0,0,103.782715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.75995,0,0,0,0,0
Cronobacter sakazakii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1223.8562,0,0,0,0,0,0,145.7143808,3265.97948,0,0,0,0,0,0,0,0,0,0,0,0
Cronobacter turicensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.1697717,3465.32414,0,0,0,0,0,0,0,0,0,0,0,0
Cryptobacterium curtum,0,0,0,0,0,0,70.03911,0,0,0,0,224.99824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1855.4187,0,61.555992,0,0,0,0,0,0,0,0,0,331.959514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.747168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.59226,0,0,0,0,0,0,0,0,0,0,0,0,0,93.36628,0,0,0,0,0,0,0,0,0,0,155.46043,0,0,203.22817,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cupriavidus necator,0,0,0,0,0,186.19882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.67748,0,0,0,0,0,0,0,0,0,0,0,0,0,105.00307,0,0,0,0,0,0,0,0,0,0,0,0,141.68353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cupriavidus pinatubonensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.11731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.397705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cupriavidus taiwanensis,0,0,0,209.02757,0,0,660.038,0,0,1039.5641,630.3108,1191.61104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127.7347,0,0,0,1522.3796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.573814,0,0,0,186.10013,0,0,0,0,0,3022.7551,0,371.25974,938.7623,1303.178,267.8388,0,0,202.82266,1243.9521,0,0,0,0,1754.821,0,0,3764.7217,121.14051,0,0,0,0,0,0,0,0,0,0,1.4197352,0,0,508.66702,3652.5752,2210.8494,0,0,1895.6206,0,996.2205,0,3914.3254,0,0,0,0,0,0,0,0,171.22762,0,0,1889.77224,444.6814,0,1426.5044,0,0,0,0,0,0,0,1027.1453,1380.8087,0,0,0,104.726555,226.03424,0,0
Cyclobacterium marinum,0,0,0,0,0,49.994343,0,0,0,0,0,0,155.5119,0,0,0,0,0,0,0,156.65224,0,0,0,0,0,70.178314,0,112.0747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.96406,0,0,0,0,0,0,0,0,0,97.59419,105.76195,0,0,0,126.499146,0,0,0,0,0,0,0,0,65.832436,0,0,0,65.281136,124.54769,0,0,0,0,0,0,0,0,0,0,0,120.7343,0,0,0,0,0,0,0,0,0,197.24442,0,0,0,0,0,116.792366,0,0,0,76.07439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.829755,0,82.62633,66.57237,0,0,0,0,0,0
Cytophaga hutchinsonii,0,211.25284,0,0,0,0,0,0,0,0,0,173.42534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.22632,0,0,0,0,0,0,0,0,0,0,0,225.219524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.6992,0,0,0,0,0,0,196.34769,0,0,0,0,0,0,0,0,0,76.105515,159.91934,0,161.1183,0,0,0,0,0,0,0,0,0,0,0,0,125.89378,0,0,0,0,0,0,150.97589,0,0
Dechloromonas aromatica,0,0,0,0,0,376.389395,0,0,0,0,0,271.90125,0,0,0,0,92.99785,0,0,0,0,0,197.29919,0,0,0,0,0,0,0,0,0,312.921016,0,0,0,0,0,0,157.92786,0,0,0,0,0,0,678.85364,0,153.10806,103.53153,0,0,0,0,0,0,0,885.20465,0,0,78.99764,891.97932,0,0,71.76202,0,0,0,0,0,0,0,0,0,151.63792,0,0,0,0,0,0,0,0,0,0,129.11646,0,0,0,0,0,0,104.05198,132.28783,0,0,0,0,0,0,0,0,286.729984,156.8246,0,0,0,0,243.8965,0,0,0,0,238.48192,257.1799,0,0,0,0,0,0,0,0,206.21735,0,0,0,0,0,508.00287,0
Deinococcus proteolyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.19467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delftia acidovorans,0,0,0,0,0,0,0,0,0,0,0,122.06525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delftia sp. Cs1-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.378082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denitrovibrio acetiphilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.233444,0,126.633606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.08299,0,0,0,0,0
